galaxy_id,morph_type,Q,incl_deg,dist_Mpc,R_disc_kpc,R_last_kpc,R_out_kpc,N_outer,mean_Sigma_bar_outer,stratum,epsilon_umm,epsilon_baryon,epsilon_nfw,A_global,Upsilon_star,gas_source,notes
NGC7793,Sd,1,47.0,3.61,1.21,7.87,5.542,5,7.485473606762359,high,0.04114225194214814,0.38878343497117107,0.056304222077369195,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.122e+11;coverage=6.50
NGC7814,Sab,1,90.0,14.4,2.54,19.53,13.860000000000001,6,1.5707507730648669,low,0.3092124516487514,0.4625150501580531,0.007503915671980371,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=2.818e+12;coverage=7.69
UGC00128,Sdm,1,57.0,64.5,5.95,53.75,38.0,7,1.247528374194719,low,0.18877628945573607,0.6452409459514171,0.022884009553147473,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=3.548e+11;coverage=9.03
UGC00191,Sm,1,45.0,17.1,1.58,9.98,7.172000000000001,2,5.120737024377613,high,0.14468392870814056,0.49756723918518075,0.01164407868411299,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=7.079e+10;coverage=6.32
UGC00731,Im,1,57.0,12.5,2.3,10.91,7.91,4,4.862665742569403,high,0.29422300674887264,0.507094800827108,0.009484451486028632,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=5.012e+10;coverage=4.74
UGC01281,Sdm,1,90.0,5.27,1.63,4.99,3.517,4,3.7382017135275887,intermediate,0.0990377786260157,0.5851262250744225,0.007499737887823719,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=2.818e+10;coverage=3.06
UGC02487,S0,1,36.0,69.1,7.89,80.38,59.24499999999999,5,1.1671486948488738,low,0.31266276688017597,0.5784146405963113,0.004231694036076555,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=7.079e+12;coverage=10.19
UGC02885,Sc,1,64.0,80.6,11.4,74.07,52.358999999999995,6,4.742091235597774,high,0.08171849325998676,0.48981983499477905,0.007559974246116118,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=3.981e+12;coverage=6.50
UGC03205,Sab,1,67.0,50.0,3.19,40.04,28.112,4,2.7431714198923944,intermediate,0.16091632997015512,0.5219326355065211,0.034786529317536494,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.413e+12;coverage=12.55
UGC03546,Sa,1,55.0,28.7,3.79,29.23,20.65,4,1.4521675253684392,low,0.19776246053632904,0.4406717100796573,0.01133427269228792,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.000e+12;coverage=7.71
UGC04278,Sd,1,90.0,9.51,2.21,6.69,4.725,8,6.03270954329523,high,0.09119735930088155,0.5812758515336052,0.00868497546202429,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.585e+11;coverage=3.03
UGC04325,Sm,1,41.0,9.6,1.86,5.59,4.122999999999999,3,8.680437243614572,high,0.0966733750821359,0.5234757740613516,0.0262952108474727,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=2.512e+11;coverage=3.01
UGC04499,Sdm,1,50.0,12.5,1.73,8.18,5.999,3,5.468815250477397,high,0.19652374259289748,0.47101052639719193,0.010977869207596247,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=5.012e+10;coverage=4.73
UGC05005,Im,1,41.0,53.7,3.2,28.61,20.261,3,2.2100015830900976,low,0.2780529526390316,0.570223828281952,0.008455955828262815,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.413e+11;coverage=8.94
UGC05721,Sd,1,61.0,6.18,0.38,6.74,4.745,5,3.801699054117871,intermediate,0.09149832847779622,0.6413048858665922,0.017019261548502126,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.234e+11;coverage=17.74
UGC05750,Sdm,1,64.0,58.7,3.46,22.85,16.088,1,2.21226677868708,low,0.5729100789884786,0.4745511890097529,0.0025604511800224896,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=5.623e+10;coverage=6.60
UGC06399,Sm,1,75.0,18.0,2.05,7.85,5.755999999999999,3,4.537142747179292,intermediate,0.025791339463938637,0.54823206095968,0.008655180149620372,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.133e+11;coverage=3.83
UGC06446,Sd,1,51.0,12.0,1.49,10.22,7.328,5,4.735495268007601,high,0.11355714453598295,0.5529758161487657,0.01897175240471089,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=8.913e+10;coverage=6.86
